소분류,발생,검거,검거비율
도로교통법(물피교통사고),13879,12646,0.911161
도로교통법(물피교통사고미조치),15206,11074,0.728265
특가법(도주차량),10081,9581,0.950402
특가법(위험운전치사상),6215,6198,0.997265
교통방해의죄,1385,1347,0.972563
도로교통법(공동위험행위),38,36,0.947368
도로교통법(무면허운전),24318,24143,0.992804
도로교통법(음주운전),140445,140071,0.997337
도로교통법(음주측정거부),2944,2932,0.995924
도로법,1885,1845,0.978780
기타교통범죄,2,2,1.000000
근로기준법,26,18,0.692308
노동조합및노동관계조정법,7,5,0.714286
산업안전보건법,18,16,0.888889
직업안정법,367,357,0.972752
기타노동범죄,1465,1455,0.993174
공안을해하는죄,32,27,0.843750
국가보안법,28,18,0.642857
기타안보범죄,9,5,0.555556
공직선거법,1823,1678,0.920461
정당법,14,12,0.857143
정치자금법,40,37,0.925000
기타선거범죄,20,19,0.950000
병역법,6856,6331,0.923425
예비군법위반,7413,6805,0.917982
기타병역범죄,2,1,0.500000
가정폭력범죄의처벌등에관한특례법위반,361,355,0.983380
개인정보 보호법,1288,1098,0.852484
건설산업기본법,1886,1836,0.973489
건설폐기물의재활용촉진에관한법률,43,41,0.953488
건축법,3974,3906,0.982889
게임산업진흥에관한법률,4926,4835,0.981527
경범죄처벌법,6691,6221,0.929756
고압가스안전관리법,294,294,1.000000
골재채취법,63,62,0.984127
공무방해에관한죄,10959,10818,0.987134
공유수면관리및매립에관한법률위반,4178,4178,1.000000
공인중개사법,1151,1083,0.940921
과실치사상의죄,6235,5789,0.928468
교육환경법,1082,1076,0.994455
국민건강보험법,390,263,0.674359
국민연금법,134,125,0.932836
국토의계획및이용에관한법률,1164,1134,0.974227
권리행사를방해하는죄,13030,10738,0.824098
낙태의죄,28,27,0.964286
낚시관리및육성법위반,559,557,0.996422
내수면어업법,42,41,0.976190
농수산물유통및가격안정에관한법률,32,28,0.875000
농수산물품질관리법,6,6,1.000000
농지법,723,694,0.959889
담배사업법,229,225,0.982533
도시가스사업법,34,31,0.911765
도시공원및녹지등에관한법률,84,77,0.916667
도주와도주원조죄,1,1,1.000000
독점규제및공정거래에관한법률,4,4,1.000000
명예에관한죄,27695,22049,0.796136
무고의죄,4212,3440,0.816714
문화재보호법,125,116,0.928000
밀항단속법,7,7,1.000000
방문판매등에관한법률,118,112,0.949153
배타적경제수역의외국인어업등에관한법률,105,104,0.990476
범인은닉·범인도피죄,96,90,0.937500
변호사법,395,329,0.832911
부정경쟁방지및영업비밀보호에관한법률,552,482,0.873188
비밀침해죄,93,66,0.709677
비파괴검사기술의진흥및관리에관한법률위반,995,994,0.998995
사격및사격장단속법,3,3,1.000000
산림법,2,0,0.000000
생명윤리및안전에관한법률,3,3,1.000000
석유및석유대체연료사업법,1549,1462,0.943835
선박안전법,1946,1948,1.001028
선박직원법,2178,2175,0.998623
성매매방지및피해자보호등에관한법률위반,49,44,0.897959
성매매알선등행위의처벌에관한법률위반(성매매),2628,2573,0.979072
성매매알선등행위의처벌에관한법률위반(성매매강요등),26,24,0.923077
성매매알선등행위의처벌에관한법률위반(성매매광고),237,215,0.907173
성매매알선등행위의처벌에관한법률위반(성매매알선등),2016,1969,0.976687
성매매알선등행위의처벌에관한법률위반(아동·청소년),7,6,0.857143
성매매알선등행위의처벌에관한법률위반(기타),1792,1751,0.977121
성폭력범죄의처벌등에관한특례법(기타),4462,4217,0.945092
소방기본법,26,21,0.807692
수도법,146,144,0.986301
수산업법,2419,2422,1.001240
신앙에관한죄,360,311,0.863889
신용정보의이용및보호에관한법률,17,17,1.000000
실화및업무상실화죄,2171,1741,0.801935
아동·청소년의성보호에관한법률위반(강요행위등),57,55,0.964912
아동·청소년의성보호에관한법률위반(매매),6,5,0.833333
아동·청소년의성보호에관한법률위반(성매수등),203,195,0.960591
아동·청소년의성보호에관한법률위반(알선영업행위등),69,68,0.985507
아동·청소년의성보호에관한법률위반(기타),415,389,0.937349
아동복지법위반(유기·학대 등),1664,1641,0.986178
아동복지법(기타),2361,2311,0.978823
아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),102,101,0.990196
아동학대처벌법위반(유기·학대 등),19,19,1.000000
아동학대처벌법위반(처분 불이행 등),30,30,1.000000
아동학대처벌법위반(기타),55,53,0.963636
액화석유가스의안전및사업관리법,84,83,0.988095
양곡관리법,1,1,1.000000
여객자동차운수사업법,664,648,0.975904
여권법,17,11,0.647059
영해및접속수역법,6,6,1.000000
영화및비디오물의진흥에관한법률,12,12,1.000000
옥외광고물법위반,352,307,0.872159
위증죄,1893,1634,0.863180
위치정보의보호및이용등에관한법률,98,93,0.948980
유기와학대의죄,260,99,0.380769
유선및도선사업법,43,43,1.000000
음반·비디오물및게임물에관한법률,2,2,1.000000
음악산업진흥에관한법률,5493,5474,0.996541
인질강요·살해·상해,4,4,1.000000
일수와수리에관한죄,8,8,1.000000
자동차관리법,15514,14826,0.955653
자동차손해배상보장법,5688,5609,0.986111
자연공원법,119,114,0.957983
장물에관한죄,929,895,0.963402
장사등에관한법률,86,80,0.930233
재난및안전관리기본법,5,5,1.000000
전기통신기본법,556,499,0.897482
전파법,52,50,0.961538
정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),37,28,0.756757
정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),6641,4807,0.723837
정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),1933,535,0.276772
정보통신망이용촉진및정보보호등에관한법률위반(기타),3442,2130,0.618826
정신건강복지법,15,11,0.733333
주거침입의죄,13520,10142,0.750148
주민등록법,2152,1882,0.874535
주차장법,239,234,0.979079
집회및시위에관한법률,188,173,0.920213
채무자회생및파산에관한법률위반,89,80,0.898876
철도안전법,83,80,0.963855
청소년보호법,8284,8164,0.985514
총포·도검·화약류등의안전관리에관한법률,346,329,0.950867
축산물위생관리법,253,250,0.988142
출입국관리법,2267,2136,0.942214
통신비밀보호법,191,175,0.916230
특가법(무고),1,0,0.000000
특가법(장물),1,1,1.000000
폭력행위등처벌에관한법률위반(기타),7,5,0.714286
하수도법,69,66,0.956522
하천법,213,208,0.976526
학원의설립·운영및과외교섭에관한법률,509,507,0.996071
항만운송사업법,3769,3738,0.991775
허위감정 증거인멸·은닉 증인은닉죄,89,67,0.752809
형사소송법,1,1,1.000000
형의실효등에관한법률,9,8,0.888889
화물자동차운수사업법,2379,2349,0.987390
기타,22247,21049,0.946150
