소분류,발생,검거,검거비율
근로기준법,17,15,0.882353
노동조합및노동관계조정법,5,6,1.200000
산업안전보건법,23,20,0.869565
직업안정법,377,368,0.976127
기타노동범죄,2035,2024,0.994595
공안을해하는죄,39,33,0.846154
국가보안법,35,32,0.914286
기타안보범죄,7,4,0.571429
공직선거법,965,847,0.877720
정당법,6,4,0.666667
정치자금법,16,16,1.000000
기타선거범죄,31,28,0.903226
병역법,6321,5835,0.923113
예비군법위반,10325,9861,0.955061
기타병역범죄,5,2,0.400000
가정폭력범죄의처벌등에관한특례법위반,205,203,0.990244
개인정보 보호법,956,833,0.871339
건설산업기본법,1849,1824,0.986479
건설폐기물의재활용촉진에관한법률,55,53,0.963636
건축법,3885,3825,0.984556
게임산업진흥에관한법률,7872,7736,0.982724
경범죄처벌법,7290,7092,0.972840
고압가스안전관리법,365,363,0.994521
골재채취법,46,45,0.978261
공무방해에관한죄,14748,14647,0.993152
공유수면관리및매립에관한법률위반,5347,5337,0.998130
공인중개사법,929,888,0.955867
과실치사상의죄,5489,5098,0.928767
국민건강보험법,469,307,0.654584
국민연금법,105,101,0.961905
국토의계획및이용에관한법률,1247,1206,0.967121
권리행사를방해하는죄,8868,7482,0.843708
낙태의죄,34,27,0.794118
낚시관리및육성법위반,1741,1735,0.996554
내수면어업법,81,80,0.987654
농수산물유통및가격안정에관한법률,37,37,1.000000
농수산물품질관리법,8,8,1.000000
농지법,899,841,0.935484
담배사업법,148,145,0.979730
도시가스사업법,40,38,0.950000
도시공원및녹지등에관한법률,119,114,0.957983
도주와도주원조죄,5,5,1.000000
독점규제및공정거래에관한법률,5,3,0.600000
명예에관한죄,28483,23015,0.808026
무고의죄,3617,3015,0.833564
문화재보호법,127,115,0.905512
밀항단속법,16,16,1.000000
방문판매등에관한법률,173,156,0.901734
배타적경제수역의외국인어업등에관한법률,213,213,1.000000
범인은닉·범인도피죄,119,115,0.966387
변호사법,368,336,0.913043
보안관찰법,7,7,1.000000
부정경쟁방지및영업비밀보호에관한법률,502,462,0.920319
비밀침해죄,87,63,0.724138
산림법,3,2,0.666667
생명윤리및안전에관한법률,1,1,1.000000
석유및석유대체연료사업법,730,720,0.986301
선박안전법,2669,2668,0.999625
